unitprice,area,year,direction,decoration,bedroom,hall,lavatory,storey,totalstorey,elevator,property,far,parkinglot,greening,fee,admdist,secdist,subway,school,business,amenity
62500,80,23,1,3,3,2,1,中层,6,0,1,1.8,200,0.25,0.35,浦东,59073.26214,FALSE,TRUE,FALSE,FALSE
35467,110,4,1,1,2,2,1,低层,14,1,1,2.1,900,0.35,1.6,浦东,35482.76437,TRUE,FALSE,TRUE,TRUE
31667,60,11,1,3,1,1,1,中层,14,1,1,1.2,587,0.5,1.2,浦东,35482.76437,TRUE,TRUE,FALSE,TRUE
44366,71,22,1,3,2,1,1,中层,6,0,1,1.5,120,0.4,0.8,浦东,48258.65812,TRUE,TRUE,TRUE,TRUE
37040,126.9,13,1,3,3,2,2,中层,12,1,1,1.7,1500,0.35,1.25,浦东,50950.82051,TRUE,FALSE,TRUE,FALSE
36913,56.9,10,1,2,1,1,1,高层,11,1,1,2.6,500,0.3,1.1,浦东,51081.42308,FALSE,FALSE,TRUE,FALSE
54595,103.5,10,1,3,3,2,1,高层,16,1,1,3.6,300,0.28,0.8,浦东,52122.88281,FALSE,FALSE,FALSE,FALSE
56682,79.4,8,1,2,2,2,1,中层,11,1,1,1.6,150,0.4,0.75,浦东,47038.57386,FALSE,TRUE,TRUE,TRUE
63571,72.4,20,1,3,2,1,1,中层,6,0,1,1.8,200,0.25,0.35,浦东,59073.26214,TRUE,TRUE,TRUE,TRUE
44667,75,3,1,3,2,2,1,高层,14,1,1,1.3,260,0.22,0.8,浦东,48392.1625,TRUE,TRUE,TRUE,TRUE
57568,71.2,23,1,3,3,1,1,中层,6,0,0,1.3,50,0.45,0.8,浦东,74209.62712,TRUE,TRUE,TRUE,TRUE
75000,60,11,1,3,1,1,1,中层,22,1,1,1.6,600,0.38,1.2,浦东,52122.88281,TRUE,TRUE,TRUE,FALSE
43815,78.7,1,1,3,3,2,2,中层,14,1,1,1.4,300,0.55,2.1,浦东,38383.28,FALSE,TRUE,TRUE,FALSE
63254,50.6,11,1,2,2,2,1,高层,6,0,1,1.7,180,0.3,1,浦东,45311.86441,TRUE,FALSE,TRUE,FALSE
70513,156,16,1,3,4,2,2,中层,11,1,1,1.9,580,0.5,1.9,浦东,70892.8,TRUE,TRUE,FALSE,FALSE
41918,73,12,1,3,2,2,1,高层,6,0,1,1.9,217,0.38,0.5,浦东,38383.28,FALSE,TRUE,FALSE,TRUE
52632,60.8,22,1,3,2,2,1,高层,6,0,1,1.8,284,0.26,0.8,浦东,47038.57386,TRUE,TRUE,FALSE,FALSE
60894,89.5,21,1,3,2,2,1,中层,6,0,1,1.7,120,0.4,1,浦东,74209.62712,FALSE,TRUE,TRUE,FALSE
29225,78.7,14,1,3,2,1,1,高层,6,0,1,1.2,800,0.3,0.5,浦东,33336.22222,TRUE,TRUE,TRUE,FALSE
56277,46.2,23,1,3,1,1,1,高层,6,0,1,1.8,120,0.28,0.8,浦东,47038.57386,TRUE,TRUE,TRUE,TRUE
70428,118.6,14,1,2,1,1,1,中层,11,1,1,1.5,700,0.36,1.55,浦东,51081.42308,TRUE,TRUE,TRUE,FALSE
45554,169,10,1,3,4,2,2,高层,16,1,1,1.7,1960,0.49,2,浦东,51081.42308,FALSE,FALSE,TRUE,TRUE
53268,153,1,1,3,3,2,3,中层,18,1,1,2.2,388,0.4,4.5,浦东,48392.1625,TRUE,TRUE,FALSE,FALSE
45554,169,10,1,3,4,2,2,高层,16,1,1,1.7,1960,0.49,2,浦东,51081.42308,FALSE,FALSE,TRUE,TRUE
42159,77.1,15,1,3,1,2,1,高层,24,1,1,1.2,1400,0.35,1,浦东,47038.57386,TRUE,TRUE,TRUE,FALSE
56277,46.2,23,1,3,1,1,1,高层,6,0,1,1.8,120,0.28,0.8,浦东,47038.57386,TRUE,TRUE,TRUE,TRUE
32663,103.5,6,1,1,2,2,1,中层,18,1,1,1.6,300,0.35,0.8,浦东,35482.76437,TRUE,TRUE,TRUE,TRUE
75415,66.3,24,1,3,2,1,1,中层,6,0,1,1.8,200,0.25,0.35,浦东,59073.26214,TRUE,TRUE,FALSE,FALSE
40870,115,11,1,3,3,2,2,中层,6,0,1,1.7,1500,0.35,1.25,浦东,50950.82051,TRUE,TRUE,FALSE,FALSE
48366,153,1,1,3,3,2,3,中层,18,1,1,2.2,388,0.4,4.5,浦东,48392.1625,TRUE,TRUE,TRUE,FALSE
